name,ra,dec,sn_type,max_epoch,max_mag,max_mag_flag,max_mag_band,redshift,radial_velocity,mult_sn_flag,unconfirmed_flag,galaxy_name,galaxy_ra_j2000,galaxy_dec_j2000,lii,bii,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,ra_offset,ra_offset_dir,dec_offset,dec_offset_flag,dec_offset_dir,max_epoch_flag,
SN 2013K,17 39 31.54,-85 18 38.1,II P,2013-01-20,17.70,D,,,2419,,,E009-G10,17 39 31,-85 18 37,307.87830,-25.59453,,Sbc:,4.0,41,171,,,12.70,1.32,6.00,E,1.00,,S,D,
SN 2013ch,12 41 43.41,-84 27 52.4,IIb,2013-04-30,16.90,D,,,2303,,,E007-G06,12 42 05,-84 27 53,302.68004,-21.59756,,Sdm,7.8,47,60,,,14.70,1.22,33.90,W,2.30,,N,D,
SN 2006ai,07 29 52.16,-84 02 20.5,II,2006-02-17,16.20,D,,,7426,,,E005-G09,07 29 55,-84 02 18,296.39134,-25.98220,,SBdm,8.0,37,112,,,15.64,1.02,2.50,W,1.80,,S,D,
SN 2012ah,23 25 59.63,-81 54 33.3,Ia,2012-02-21,14.80,D,,,3664,Y,,NGC7637,23 26 29,-81 54 42,306.50332,-34.61774,,Sc,5.1,23,,,,13.07,1.36,58.00,W,8.00,,N,D,
SN 1992ao,23 26 52.91,-81 53 45.0,II,1992-07-28,17.00,D,,,3664,Y,,NGC7637,23 26 29,-81 54 42,306.47475,-34.64233,,Sc,5.1,23,,,,13.07,1.36,53.50,E,56.70,,N,D,
SN 1991aq,01 52 39.61,-81 38 03.4,,1991-08-18,18.00,D,,,,,,A015239-8138,01 52 39,-81 38 03,300.23904,-35.17142,,S,,,,,,,,5.30,W,10.60,,S,D,
SN 2007as,09 27 36.01,-80 10 39.2,Ia,2007-03-13,15.80,D,,,5125,,,E018-G18,09 27 42,-80 10 46,294.78820,-20.71181,,Sbc,3.8,37,,,,,0.99,12.10,W,8.80,,N,D,
SN 2010E,02 02 32.48,-79 40 52.5,II P,2009-12-23,17.00,D,,,4576,,,E013-G28,02 02 33,-79 40 20,299.01076,-36.89972,,Sbc,4.0,80,3,,,15.19,1.28,1.00,E,35.00,,S,:,
SN 2004ch,14 34 06.27,-78 23 09.5,II,2004-05-28,16.00,D,,,2699,,,NGC5612,14 34 02,-78 23 18,308.15161,-16.56820,,Sab:,2.0,59,63,,,13.04,1.27,62.50,E,8.00,,N,D,
SN 2009J,05 55 21.13,-76 55 20.8,Ia pec,2009-01-13,17.60,D,,,4730,Y,,IC2160,05 55 29,-76 55 13,288.31742,-29.53456,,SBc,4.7,67,107,,,13.86,1.31,25.40,W,8.00,,S,D,
SN 2009iw,05 55 25.63,-76 55 15.9,Ia,2009-09-15,15.00,D,,,4730,Y,,IC2160,05 55 29,-76 55 13,288.31527,-29.53051,,SBc,4.7,67,107,,,13.86,1.31,10.00,W,3.00,,S,D,
SN 2001ke,11 34 29.64,-76 01 41.5,,2001-12-04,23.00,D,R,0.3600,,,,A113429-7601,11 34 29,-76 01 41,298.23224,-13.86339,,,,,,,,,,0.87,W,0.11,,N,D,
SN 2013H,09 06 30.70,-75 49 01.5,Ia,2013-01-06,16.50,D,,,4558,,,E036-G19,09 06 36,-75 49 32,290.51326,-18.71596,,SBbc pec,4.0,68,157,,,13.77,1.30,18.00,W,34.00,,N,D,
SN 2009gd,15 48 22.79,-75 40 47.8,Ic,2009-06-09,16.40,D,,,2975,,,NGC5967,15 48 16,-75 40 22,313.29938,-16.50500,,Sc:,4.9,54,90,,,12.73,1.46,25.00,E,25.00,,S,D,
SN 2004M,00 35 59.26,-74 48 02.0,,2004-01-06,19.50,D,,,,,,A003559-7448,00 35 59,-74 48 02,304.29990,-42.28663,,,,,,,,,,10.70,W,3.10,,S,D,
